AT,V,AP,RH,PE,TCN
12.126o34286589265,52.81306132309562,952.8730856541375,95.05569048592129,LOW,Simo Sikka
8.44,41.17,1019.9,70.72,486.15,Marc Wolf
16.73,54.3,1017.96,59.44,460.54,Christopher Clapman
24.91,71.29,1008.29,69.06,437.03,Antoin Tessier
32.45,66.44,1011.21,50.18,429.99,Antoin Tessier
17.45,49.64,1026.4,66.67,454.67,Christopher Clapman
25.42,68.08,1011.2,76.58,433.82,Marc Wolf
18.48,52.05,1012.41,68.2,458.62,Marc Wolf
28.71,64.69,1006.52,68.38,435.85,Marc Wolf
73.oo4,58.96,1013.65,57.06,452.03,Daniel Smithson
29.13,47.93,1002.5,49.1,435.61,Antoin Tessier
57.164,40.71,1022.72,71.83,474.46,Daniel Smithson
13.1,49.83,1007.29,92.79,466.08,Marc Wolf
24.71,60.77,1016.67,69.7,443.52,Christopher Clapman
48.721999999999994,34.03,1018.84,74.81,483.74,Daniel Smithson
28.16,70.72,1009.81,65.32,441.37,Antoin Tessier
59.8o9999999999995,61.27,1019.87,79.21,456.59,Daniel Smithson
71.924,62.39,1007.84,85.74,452.31,Daniel Smithson
2o.18,43.56,1013.14,39.16,462.8,Antoin Tessier
2o.79,50.59,1017.75,73.35,456.01,Christopher Clapman
8.912285736924236,42.49106425583964,1114.4628909022133,64.59917916762498,LOW,Simo Sikka
1o.o8o822127312o11,43.24969076210862,939.2956633977834,72.79862157972477,LOW,Simo Sikka
77.666,58.33,1013.49,51.42,444.46,Daniel Smithson
3o.31,77.24,1008.02,67.84,435.28,Marc Wolf
76.838,57.17,1010.88,72.97,446.01,Daniel Smithson
81.716oooooooooo1,63.9,1013.11,43.56,442.89,Daniel Smithson
55.184,43.8,1023.19,59.18,468.19,Daniel Smithson
56.138,40.89,1010.85,89.61,472.4,Daniel Smithson
28.41,75.6,1018.48,56.07,440.28,Christopher Clapman
14.55,44.84,1023.83,87.6,465.14,Antoin Tessier
19.888373566oo4763,41.15673286020419,1064.9086241419893,76.44065320464927,LOW,Simo Sikka
57.164,41.79,1010.6,83.84,457.12,Daniel Smithson
4o.982,39.04,1020.45,78.89,472.52,Daniel Smithson
57.oo2,45.08,1024.64,82.29,467.74,Daniel Smithson
27.13,69.45,1013.9,51.16,434.47,Marc Wolf
82.562,63.31,1013.01,52.6,438.6,Daniel Smithson
7o.1315595455147,64.02408044882382,1064.2705127951283,85.54778730641264,LOW,Simo Sikka
14.8,40.2,1012.87,88.35,466.27,Marc Wolf
19.o21468442754284,74.99377855925523,1068.7088399752085,57.03600673662867,LOW,Simo Sikka
28.16,73.21,1002.27,88.26,432.78,Christopher Clapman
13.27,42.28,1008.3,86.2,468.86,Christopher Clapman
24.59,60.37,1005.31,76.81,438.09,Christopher Clapman
13.5,41.44,1015.72,68.36,471.34,Christopher Clapman
87.782,68.51,1008.0,71.35,430.09,Daniel Smithson
53.7o8,52.72,1024.53,80.05,467.21,Daniel Smithson
63.193999999999996,41.35,999.51,68.36,460.46,Daniel Smithson
76.388,57.43,1013.17,71.82,445.41,Daniel Smithson
6o.242ooooooooooo4,41.93,1021.3,52.69,468.43,Daniel Smithson
24.49,68.61,1010.56,64.03,447.57,Christopher Clapman
24.31,44.05,1006.16,73.3,442.69,Christopher Clapman
21.12514173675936,55.49777661693317,1071.7280486430468,90.7930700442633,LOW,Simo Sikka
74.12,65.06,1014.32,67.38,442.7,Daniel Smithson
17.8,43.72,1008.71,78.5,458.92,Antoin Tessier
47.768,41.82,1033.29,76.5,480.08,Daniel Smithson
27.51,73.77,1002.42,90.88,436.91,Christopher Clapman
27.75,66.51,1015.42,39.0,433.08,Marc Wolf
27.69,65.34,1014.31,46.59,442.84,Antoin Tessier
32.33,69.89,1014.18,50.93,427.29,Marc Wolf
31.11,69.05,1002.37,41.56,433.19,Christopher Clapman
3o.58,65.18,1011.61,37.43,437.17,Antoin Tessier
28.64,69.23,1013.11,37.13,434.4,Christopher Clapman
23.57,67.9,1006.08,70.12,446.72,Marc Wolf
5.74,40.62,1016.31,84.91,481.15,Marc Wolf
79.664,68.14,1004.83,55.96,432.19,Daniel Smithson
21.o3,67.45,1015.01,68.59,447.11,Antoin Tessier
55.724ooooooooooo4,40.03,1017.75,82.29,470.88,Daniel Smithson
24.24,68.3,1018.03,81.51,437.12,Marc Wolf
13.48,46.18,1018.15,88.38,464.58,Antoin Tessier
24.86,63.47,1011.5,71.78,441.68,Marc Wolf
24.67,69.14,1006.25,88.51,440.03,Christopher Clapman
57.83,40.71,1023.09,69.5,473.56,Daniel Smithson
1o.15,41.62,1015.86,97.4,463.89,Antoin Tessier
